시군구명,년-월,종이류,플라스틱
광진구,Jan-20,157.7,153.5
광진구,Feb-20,156.8,128.8
광진구,Mar-20,196,131.8
광진구,Apr-20,195.4,161.8
광진구,May-20,184.8,161.8
광진구,Jun-20,131.9,140.9
광진구,Jul-20,140.6,187.5
광진구,Aug-20,111.3,167.2
광진구,Sep-20,139.4,159.3
광진구,Oct-20,133.9,175.9
광진구,Nov-20,145.7,305
광진구,Dec-20,153.4,229.7
광진구,Jan-21,161.1,226.3
광진구,Feb-21,151.6,196.4
광진구,Mar-21,169.7,197.1
광진구,Apr-21,137.4,194.4
광진구,May-21,156.2,235.9
광진구,Jun-21,149,241.5
중랑구,Jan-20,61.4,173.62
중랑구,Feb-20,49.5,138.29
중랑구,Mar-20,46.5,85.42
중랑구,Apr-20,48.2,198.82
중랑구,May-20,49.3,135.18
중랑구,Jun-20,58.5,185.06
중랑구,Jul-20,51.8,235.74
중랑구,Aug-20,40.5,169.09
중랑구,Sep-20,50.3,150.49
중랑구,Oct-20,20.7,94.86
중랑구,Nov-20,34.7,79.88
중랑구,Dec-20,42.2,148.19
중랑구,Jan-21,60.3,192.57
중랑구,Feb-21,63,203.26
중랑구,Mar-21,56,253.6
중랑구,Apr-21,55.5,271.1
중랑구,May-21,68,228.8
중랑구,Jun-21,46.1,235.9
중랑구,Jul-21,43.4,249.9
강동구,Jan-20,166.8,77.5
강동구,Feb-20,219.4,99.2
강동구,Mar-20,239.9,63.6
강동구,Apr-20,218.9,89.3
강동구,May-20,221.6,87.7
강동구,Jun-20,193.5,81.5
강동구,Jul-20,178.4,153.9
강동구,Aug-20,175.6,155.1
강동구,Sep-20,208.8,129
강동구,Oct-20,199.2,147.7
강동구,Nov-20,274.4,68
강동구,Dec-20,283.8,172.5
강동구,Jan-21,200.6,165.7
강동구,Feb-21,180.2,142.4
강동구,Mar-21,250,157
강동구,Apr-21,210.7,165.5
강동구,May-21,241.4,159.1
강동구,Jun-21,242.8,162.5
강동구,Jul-21,238,162.5
은평구,Jan-20,245.39,66.07
은평구,Feb-20,312.05,67.67
은평구,Mar-20,315.43,85.8
은평구,Apr-20,295.83,78.78
은평구,May-20,334.91,75.31
은평구,Jun-20,304.18,98.4
은평구,Jul-20,409.76,85.49
은평구,Aug-20,439.66,77.95
은평구,Sep-20,420.04,102.37
은평구,Oct-20,332.44,91.72
은평구,Nov-20,330.38,87.76
은평구,Dec-20,352.03,87.73
은평구,Jan-21,341.53,65.31
은평구,Feb-21,291.38,79.62
은평구,Mar-21,304.96,87.13
은평구,Apr-21,194.61,63.5
은평구,May-21,248.72,78.39
은평구,Jun-21,237.66,83.32
은평구,Jul-21,241.39,81.75
