시군구명,년-월,종이류,필름류(EPR),플라스틱,금속캔,유리병,스티로폼,기타,잔재물
광진구,2020-01,157.7,643.4,153.5,31.1,165.3,23.2,0.6,410.7
광진구,2020-02,156.8,755.4,128.8,23.3,105.9,12.7,3.6,301.2
광진구,2020-03,196,712.6,131.8,28.6,139.8,22.8,0,381.2
광진구,2020-04,195.4,600.9,161.8,29.2,127.1,21.6,5,393.6
광진구,2020-05,184.8,635.1,161.8,28.5,123.3,18.9,1,416.9
광진구,2020-06,131.9,638.6,140.9,25.1,121.1,25.6,0.6,413.9
광진구,2020-07,140.6,592.2,187.5,30,112.6,10.6,0,415.1
광진구,2020-08,111.3,324.1,167.2,31.9,93.9,18.8,0.7,817.7
광진구,2020-09,139.4,266.5,159.3,36.1,114.8,26.5,3.1,781.7
광진구,2020-10,133.9,168.4,175.9,34.2,114.8,22.5,0.8,745.8
광진구,2020-11,145.7,266,305,38.8,109.6,11.5,39.5,496
광진구,2020-12,153.4,339.9,229.7,43.8,120.8,13,43.4,599
광진구,2021-01,161.1,327.5,226.3,38.8,117.6,12.5,48,530
광진구,2021-02,151.6,296.3,196.4,35.5,100.3,24.4,64.6,486
광진구,2021-03,169.7,308.5,197.1,47.4,129,27.5,35.6,636
광진구,2021-04,137.4,335.7,194.4,33,125.7,26,32.8,533
광진구,2021-05,156.2,356.8,235.9,49.8,131.5,25.1,38.5,488.6
광진구,2021-06,149,356.4,241.5,49.3,131.6,23.8,39.1,427
중랑구,2020-01,61.4,623.8,173.62,41.295,31.04,23.5,12.5,143.4
중랑구,2020-02,49.5,495.4,138.29,40.53,28.408,10.7,14.3,133.2
중랑구,2020-03,46.5,457.5,85.42,34.55,44.73,23,22,68.9
중랑구,2020-04,48.2,509,198.82,50.63,73.38,23.2,18.2,116.4
중랑구,2020-05,49.3,75.1,135.18,39.65,49.63,24.2,11.1,419.9
중랑구,2020-06,58.5,137.5,185.06,49,65.85,22.8,15.8,660.8
중랑구,2020-07,51.8,583.2,235.74,43.647,61.936,22,18.9,153.5
중랑구,2020-08,40.5,557.9,169.09,41.068,28.13,21.4,18.4,144.8
중랑구,2020-09,50.3,473.6,150.49,38.863,74.041,12.4,16.8,252.8
중랑구,2020-10,20.7,210.7,94.86,31.375,27.676,25.6,14.7,108.7
중랑구,2020-11,34.7,395.4,79.88,27.317,36.296,24.5,7.1,435.5
중랑구,2020-12,42.2,583.5,148.19,44.725,27.379,24.5,12.4,185.5
중랑구,2021-01,60.3,407,192.57,32.571,60.555,23.3,20.3,241.9
중랑구,2021-02,63,496.2,203.26,38.995,54.874,25.1,13,84.3
중랑구,2021-03,56,558.8,253.6,45.1,62,23.9,22.7,133.1
중랑구,2021-04,55.5,586.9,271.1,49.8,53.9,25.3,21.6,126.8
중랑구,2021-05,68,554.8,228.8,36.4,49.8,25,11,134.6
중랑구,2021-06,46.1,444.1,235.9,46.5,67.1,13.3,11.6,254.4
중랑구,2021-07,43.4,374.8,249.9,40.6,53.7,24.9,17.8,260.2
